Entry_ID  Pocket_Score drug_score volume nb_asph inter_chain apol_asph_proportion mean_asph_radius as_density mean_asph_solv_acc mean_loc_hyd_dens flex hydrophobicity_score volume_score charge_score polarity_score a0_apol a0_pol af_apol af_pol n_abpa ala cys asp glu phe gly his ile lys leu met asn pro gln arg ser thr val trp tyr
6448  0.2233 0.9806 1248.4276 180 0 0.6000 3.8939 7.6837 0.4745 54.3704 0.4104 39.1724 4.3448 4 12 226.6181 73.3239 103.3119 54.1338 18 2 1 0 2 1 0 0 5 3 3 2 2 1 3 0 0 0 1 3 0 0
6449  0.3349 0.8497 510.7101 79 0 0.8481 4.0060 4.7334 0.4608 58.1493 0.4820 50.1667 4.5000 0 8 114.6254 29.1949 33.1878 15.6790 7 2 0 2 0 0 0 0 1 0 1 2 0 1 1 1 0 2 3 1 1 0
6450  0.7342 0.9621 1246.4077 232 0 0.4095 3.8945 9.7964 0.4557 43.9789 0.1450 36.2400 3.6800 3 18 185.2421 80.6914 30.5815 47.1779 22 2 1 4 0 4 1 1 7 1 5 8 2 1 3 1 5 2 0 1 1 0
6451  -0.1155 0.0001 205.5403 16 0 0.0000 3.8121 2.6874 0.5085 0.0000 0.4039 -26.4286 4.7143 -2 7 9.6610 88.3465 1.9113 52.4512 9 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
6452  -0.0670 0.0033 229.9989 16 0 0.8125 3.8425 2.3754 0.5471 11.8462 0.2553 48.6667 5.5000 -1 4 59.1738 17.1655 24.8475 10.4339 2 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0
6453  -0.0342 0.8686 1566.3564 201 0 0.5622 3.9704 9.1899 0.4322 64.9911 0.5576 48.9750 4.4750 3 14 302.0655 127.2067 126.1488 104.8178 14 5 4 2 1 0 0 1 3 1 2 7 0 2 3 0 1 0 2 2 4 0
6454  -0.0317 0.8263 1017.2847 139 0 0.6475 3.9614 7.6323 0.4552 51.8667 0.3864 51.3636 4.0909 1 8 248.7713 84.9993 101.3013 76.9659 7 3 1 1 0 0 0 1 0 1 2 4 0 0 1 0 3 0 1 0 4 0
6455  0.0315 0.0118 140.1200 21 0 0.8571 3.6666 2.0408 0.4141 17.0000 0.4981 58.7778 4.8889 1 3 39.0399 4.2858 3.8227 0.0000 2 0 0 1 0 0 0 0 0 0 1 2 1 1 2 0 0 1 0 0 0 0
6456  0.3848 0.4364 744.3110 116 0 0.3362 3.9467 5.7286 0.4355 27.2308 0.1574 19.5000 4.1538 5 15 114.7247 51.9169 63.0744 21.1213 17 1 4 0 1 0 1 0 4 1 1 2 1 0 2 1 2 3 0 2 0 0
6457  0.1395 0.9479 2110.5227 245 0 0.5878 3.9296 11.3763 0.4311 72.5278 0.4753 45.5957 4.0638 2 17 371.9495 174.4615 164.3757 148.5459 25 6 2 4 1 0 0 1 4 2 2 8 0 2 3 0 3 0 2 2 5 0
6458  0.0147 0.1423 1065.3984 116 0 0.4655 4.0413 6.2555 0.4701 46.6296 0.3027 17.6071 3.9286 -2 14 154.2396 128.1454 91.7446 127.2556 12 1 0 1 1 1 0 6 3 1 0 3 4 2 0 0 0 1 0 0 4 0
6459  0.0999 0.8616 782.7468 78 0 0.5897 3.9850 5.9369 0.4513 40.6087 0.2410 37.3043 4.2174 -1 11 154.5764 87.0980 84.0992 36.6595 15 2 0 0 3 0 2 1 0 3 2 2 0 2 2 0 0 1 0 1 2 0
6460  0.1734 0.8333 719.8525 73 0 0.6301 4.0433 5.3394 0.4370 41.6957 0.2014 39.9524 4.2381 0 10 111.1018 79.5757 105.1240 22.6913 13 2 0 0 2 0 2 1 0 3 2 2 0 1 2 0 0 1 0 1 2 0
6461  0.1929 0.9598 710.9965 82 0 0.6585 3.9555 5.7150 0.4538 46.7407 0.4484 45.5000 4.1364 0 9 164.4548 49.9510 73.3260 21.0649 10 2 0 0 1 0 2 1 1 2 3 3 0 1 2 0 1 1 0 1 1 0
6462  -0.1549 0.1021 313.6684 27 0 0.8519 3.9970 2.5937 0.4270 22.0000 0.5920 32.8000 4.4000 0 2 82.1187 39.0815 55.4290 15.9043 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0
6463  0.4268 0.0614 784.2684 157 0 0.1911 3.8780 6.9154 0.4798 15.8000 0.2713 2.3103 4.4138 2 22 61.5890 142.9153 9.5567 36.9411 31 1 5 3 3 0 0 3 3 1 0 1 2 0 2 0 2 0 0 3 0 0
6464  0.3328 0.4051 691.8153 88 1 0.8068 3.8417 5.2371 0.4056 57.9155 0.5200 59.0000 5.0000 2 5 107.6372 57.0308 65.0850 69.8973 4 1 2 0 0 1 0 0 0 0 0 4 0 1 2 1 0 1 1 1 2 0
6465  0.1341 0.1024 208.7858 33 0 0.6970 3.8838 2.3839 0.4900 22.0000 0.1740 28.1111 4.6667 1 5 41.3760 19.4412 13.3794 6.9559 6 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 2 0 0
6466  -0.0888 0.9362 1271.3016 134 0 0.6642 4.0977 7.4491 0.4622 55.8652 0.4252 44.5556 3.9630 -1 9 258.5116 92.3668 116.5921 61.0053 14 1 0 1 1 1 1 1 4 0 4 2 1 0 4 0 1 2 1 0 2 0
6467  0.2215 0.2344 217.9141 37 0 0.7027 3.8924 2.4563 0.4808 25.0000 0.1604 28.1111 4.6667 1 5 46.2065 19.4412 9.5567 10.4339 7 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 2 0 0
6468  -0.0637 0.0270 1192.0635 127 0 0.2520 4.0152 7.3967 0.4286 16.8125 0.1738 22.4242 4.0000 2 20 148.5383 204.6172 49.6950 130.8463 19 0 2 1 2 0 2 0 4 0 4 1 2 0 1 1 3 5 1 2 2 0
6469  0.3339 0.4766 501.1565 53 0 0.5849 3.9188 5.3207 0.4929 23.6129 0.2598 31.1429 4.2143 1 7 68.9931 40.8482 34.4042 27.8801 8 0 1 1 0 1 1 0 1 0 2 1 0 1 0 1 2 0 0 2 0 0
6470  0.2383 0.9173 923.4991 103 0 0.4466 3.9505 6.8877 0.4716 30.2609 0.4270 20.1481 4.1852 -3 18 166.8110 75.5775 80.2765 31.4707 16 0 0 2 3 0 3 2 1 2 1 2 0 1 2 1 1 2 1 2 1 0
6471  0.2674 0.9529 1162.8895 134 0 0.4179 3.9749 8.6212 0.5243 39.6071 0.4790 16.6667 4.0303 -3 23 184.7671 118.6793 126.1488 76.8251 16 0 0 2 4 0 3 2 1 2 2 2 1 1 2 1 4 2 1 2 1 0
6472  -0.0245 0.2772 203.5115 22 0 0.9545 3.9905 2.3178 0.4571 20.0000 0.7427 61.7143 4.7143 0 2 81.0694 13.0788 28.7694 1.7671 1 0 0 0 0 0 1 0 0 0 1 0 0 2 2 0 1 0 0 0 0 0
6473  0.1975 0.7923 594.0281 79 0 0.6329 4.0169 4.8353 0.4689 45.2000 0.6320 40.2500 4.7500 0 9 138.4613 43.2346 97.4786 12.3137 10 0 0 1 1 0 1 0 0 1 1 1 0 2 2 1 1 1 1 2 0 0
6474  -0.1556 0.0035 791.3203 41 0 0.2927 4.2141 4.5949 0.5570 10.3333 0.4774 28.2941 4.2353 2 8 114.7247 70.9597 99.3899 59.3226 9 0 2 1 2 0 0 0 2 1 3 2 1 0 1 0 1 0 0 0 1 0
6475  0.0626 0.9055 768.4260 104 0 0.5000 3.9112 5.6445 0.3995 44.2308 0.4743 24.5833 3.2500 -3 9 164.9500 79.5757 71.0176 34.8642 18 1 0 1 3 2 2 0 5 0 1 2 0 2 0 0 1 1 0 1 2 0
6476  0.0340 0.3261 1112.2046 111 0 0.5676 3.9676 7.2733 0.5640 51.1746 0.2231 26.7273 3.6818 1 14 169.0679 137.4123 87.9219 158.5292 11 2 0 1 1 0 0 0 3 2 0 1 0 0 2 0 3 3 0 4 0 0
6477  0.3571 0.4436 207.1933 57 0 0.6842 3.9173 2.2192 0.5198 38.0000 0.0000 47.7778 4.5556 1 5 55.5509 17.1876 11.4681 3.4780 7 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 3 0 0
6478  0.1306 0.5562 810.8837 73 1 0.6438 3.9991 5.9775 0.5161 35.1489 0.1937 26.5789 4.1579 1 9 169.0679 66.7403 91.7446 52.3948 7 0 0 2 2 0 0 0 1 1 2 1 2 1 1 1 1 0 0 1 3 0
6479  0.1364 0.5221 484.5124 50 1 0.5600 3.8018 4.6993 0.4609 20.7143 0.1501 25.2667 4.2000 1 7 103.8560 39.9095 49.6950 31.4425 5 0 0 2 1 0 0 0 1 0 2 0 2 1 1 1 1 0 0 1 2 0
6480  0.0177 0.3269 339.3626 30 1 0.6000 3.9284 3.4813 0.6056 16.7778 0.2557 29.5455 4.0909 2 4 90.5721 28.1677 43.9609 12.2855 4 0 0 1 0 0 0 0 1 0 2 0 2 0 1 1 1 0 0 0 2 0
6481  0.2150 0.5062 574.1653 57 1 0.6140 3.8282 4.7811 0.5030 28.0571 0.0657 27.0714 4.4286 1 7 101.4408 32.3872 45.8723 33.3223 6 0 0 2 1 0 0 0 0 0 2 0 2 1 1 1 1 0 0 1 2 0
6482  0.3548 0.4857 337.4195 61 0 0.7213 3.8259 3.5716 0.4556 42.9091 0.3044 23.5385 4.1538 0 7 78.4958 29.0622 24.8475 19.2133 5 1 1 0 2 0 0 1 0 1 0 2 1 0 0 0 0 1 0 0 3 0
6483  -0.0054 0.0012 183.9592 18 0 0.2778 3.6849 2.7171 0.5660 4.0000 0.1174 41.2000 3.3000 -1 3 56.7585 20.3577 30.5815 20.8678 2 2 0 0 1 0 0 0 1 0 2 1 0 0 1 0 2 0 0 0 0 0
6484  -0.0677 0.9521 1594.1718 129 0 0.4961 3.9437 9.2268 0.4893 37.0938 0.2346 29.2571 4.1429 -3 18 277.0018 145.2224 182.1734 95.9258 20 1 0 1 4 0 2 2 1 2 2 2 1 3 4 1 3 1 0 2 3 0
6485  0.0310 0.0241 169.1746 21 0 0.4762 3.7071 3.3229 0.4027 9.0000 0.2007 53.0000 4.3333 0 4 67.6272 20.5569 22.9361 0.0000 5 1 0 0 0 0 1 0 0 0 1 0 0 0 2 0 1 1 0 1 1 0
6486  -0.0115 0.9505 1160.6738 111 0 0.5676 3.9517 7.5036 0.4855 43.2698 0.5102 21.9231 4.0385 -4 15 234.9132 102.5631 151.7905 41.9609 18 0 0 1 2 0 1 4 2 2 1 2 0 1 3 1 2 1 0 2 1 0
6487  0.0562 0.0025 102.4382 20 0 0.8500 3.6261 1.9564 0.4072 16.0000 0.5246 62.7500 4.1250 1 1 35.0212 4.3080 7.6454 0.0000 4 2 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 2 0
6488  0.3141 0.5531 490.2387 73 0 0.2877 4.0263 3.8894 0.5187 16.9524 0.4095 23.8235 3.2941 1 8 71.6459 56.1806 38.4254 40.3346 9 1 0 0 1 2 0 0 4 1 0 1 1 0 0 0 2 1 1 1 1 0
6489  -0.0255 0.0002 159.0779 15 0 0.3333 3.9542 1.4858 0.5994 4.0000 0.6454 32.8571 5.0000 3 4 21.7373 34.5744 3.8227 31.5552 2 0 1 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 1 0 0
6490  0.3567 0.6451 491.1185 50 1 0.5800 3.8043 4.7806 0.4648 20.3448 0.0370 25.2667 4.2000 1 7 99.0255 34.4637 49.6950 24.4303 6 0 0 2 1 0 0 0 1 0 2 0 2 1 1 1 1 0 0 1 2 0
6491  0.0666 0.9647 1761.3226 246 0 0.6179 4.0051 9.1267 0.4664 67.5921 0.2870 53.2340 4.4043 0 17 364.4851 89.3516 151.8897 54.1338 17 2 0 2 0 3 1 3 1 2 5 8 1 4 3 0 2 2 0 4 4 0
6492  0.0278 0.0049 226.4241 15 0 0.8000 4.0487 2.7629 0.6989 11.0000 0.4126 33.0000 4.2500 -1 2 67.6272 17.1655 34.4042 15.6509 2 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0
6493  0.0324 0.1356 1047.3492 112 0 0.5179 4.0600 6.8358 0.4490 42.7586 0.3991 19.5600 4.1200 0 13 129.2162 166.0669 63.0744 129.1636 8 2 0 1 2 0 2 3 2 1 1 3 4 0 2 0 0 0 0 0 2 0
6494  -0.0247 0.2998 1678.6748 184 0 0.3207 4.0817 9.2773 0.5186 32.1356 0.2415 30.2857 3.8286 -1 18 259.6401 192.9641 133.7942 178.2213 28 1 1 1 2 0 2 2 4 1 3 5 1 0 2 0 3 4 1 0 2 0
6495  -0.0279 0.9659 1730.2773 196 0 0.4286 3.8713 10.3791 0.4397 45.5476 0.3877 28.4390 4.0244 -4 20 277.7545 199.9995 154.8190 116.7091 34 2 0 2 3 0 1 3 3 0 1 4 2 0 4 2 4 1 1 3 5 0
6496  -0.0826 0.0045 230.8254 16 0 0.6250 4.0835 2.2272 0.5450 9.0000 0.6847 31.1667 5.0000 2 2 61.5890 12.0073 49.6950 3.5061 2 0 1 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 1 0
6497  0.5707 0.8035 402.9934 75 1 0.9600 3.8076 4.3714 0.4794 62.4722 0.0915 67.8235 4.8824 1 5 61.5890 13.9732 11.4681 0.0000 5 0 0 1 0 0 0 0 0 1 1 5 0 0 2 1 0 1 2 0 3 0
6498  0.4834 0.7907 389.6599 75 1 0.9733 3.8325 4.3746 0.4756 63.7808 0.1559 67.8235 4.8824 1 5 92.9874 4.3522 15.2908 0.0000 2 0 0 1 0 0 0 0 0 1 1 5 0 0 2 1 0 1 2 0 3 0
6499  0.1326 0.9235 1551.6548 187 0 0.4225 4.0074 9.7806 0.4948 37.9240 0.3594 29.5278 3.8889 3 17 292.2460 148.7465 177.7551 120.8348 20 1 2 1 1 0 2 1 4 1 3 6 2 0 2 1 3 4 0 0 2 0
6500  -0.0120 0.7501 1730.3108 186 0 0.4032 4.0631 9.5536 0.4998 37.5733 0.2850 25.7105 3.8684 1 19 289.8308 181.2444 183.4892 146.8632 22 1 2 1 2 0 2 2 4 1 3 6 2 0 2 1 3 4 0 0 2 0
6501  0.0524 0.7801 649.2076 47 0 0.7660 4.0451 4.4516 0.3857 33.5556 0.6096 23.3158 3.7895 -1 7 134.8384 43.9741 97.4786 13.9119 8 2 1 1 1 0 0 2 2 0 0 2 1 2 1 1 1 0 0 0 2 0
6502  0.1352 0.2964 1804.0856 187 0 0.3904 4.0911 9.9286 0.5051 37.2329 0.3548 27.6486 3.8919 1 19 292.2461 179.1014 187.3118 176.7639 19 1 2 1 2 0 2 2 4 1 3 6 2 0 2 0 3 4 0 0 2 0
6503  -0.0691 0.9086 2463.9568 287 1 0.5052 3.9774 10.4259 0.4649 47.5586 0.4884 29.0000 3.9038 0 23 391.9050 175.7100 285.0883 96.2637 34 1 1 0 4 0 2 2 10 3 5 5 2 1 2 2 3 1 3 2 3 0
6504  0.4982 0.9115 412.7272 84 0 0.2857 3.7612 5.2795 0.4500 19.2500 0.0644 36.9091 3.9091 5 8 56.7585 58.5448 13.3794 15.7635 14 5 2 0 0 0 0 0 3 1 1 5 2 0 0 0 0 2 0 1 0 0
6505  0.3886 0.8683 623.7407 98 0 0.9184 4.0416 5.1100 0.5469 75.5111 0.3078 57.3333 4.7500 3 8 129.2162 15.1111 32.4929 8.7231 5 1 1 1 0 0 0 0 1 2 1 4 0 1 4 1 1 0 1 2 3 0
6506  0.3002 0.2249 731.9590 80 0 0.3125 3.9431 4.9964 0.5608 15.1200 0.2386 20.9000 3.5000 0 8 94.1950 75.2234 40.1382 90.5962 5 0 1 0 0 1 2 2 5 1 1 2 0 0 0 1 1 0 0 1 2 0
6507  0.1080 0.5303 591.4933 44 0 0.5000 3.9819 5.1601 0.6097 19.0909 0.2522 25.0000 3.6154 2 6 137.6696 52.8777 89.8332 43.7844 7 3 1 0 1 0 0 0 1 1 1 1 1 0 1 0 2 0 0 0 0 0
6508  -0.2667 0.5812 1319.9315 160 0 0.3063 4.0305 7.2880 0.4571 27.9184 0.1624 19.5278 4.4444 4 18 199.2586 211.0811 91.7446 75.5085 24 3 6 1 3 0 0 2 1 1 3 3 2 1 1 3 1 1 1 0 3 0
6509  0.0758 0.0124 648.0902 57 0 0.3684 4.0530 5.0946 0.5416 16.0000 0.1973 33.7333 3.8000 3 6 118.3476 100.9292 57.3404 80.7818 7 3 1 0 0 0 1 0 2 1 1 1 1 0 2 0 0 2 0 0 0 0
6510  0.3165 0.8370 455.0764 79 0 0.4177 3.8937 4.2330 0.4733 27.1515 0.2808 32.7857 5.4286 -2 12 73.6653 60.1124 42.0496 19.1570 8 0 1 0 2 0 0 2 0 1 0 1 0 0 0 0 0 1 4 1 1 0
6511  0.3055 0.8045 443.1482 74 0 0.3919 3.9693 3.8986 0.4986 24.3448 0.2720 32.7857 5.4286 -2 12 88.1568 40.7597 43.9609 22.6350 6 0 1 0 2 0 0 2 0 1 0 1 0 0 0 0 0 1 4 1 1 0
6512  0.2688 0.8694 643.2560 56 0 0.6429 3.9716 5.0619 0.4467 30.3333 0.1687 32.2500 4.6500 -2 9 138.2238 36.5403 90.1310 8.7231 8 0 0 1 3 1 1 0 0 0 1 2 1 3 1 2 0 0 1 2 1 0
6513  0.4006 0.6280 312.4885 30 0 0.5667 3.8640 3.5252 0.4577 16.0000 0.0000 42.7692 4.6154 -1 5 64.0835 28.9958 21.0248 6.9841 6 0 0 1 1 1 1 0 0 0 1 1 0 2 1 1 0 0 0 2 1 0
6514  0.3156 0.9552 812.2625 139 1 0.6547 3.7605 7.4140 0.4469 61.4945 0.2104 19.7826 4.8696 -1 15 161.0104 73.1026 32.5921 38.2577 13 1 3 0 3 0 2 2 0 0 1 1 1 2 1 1 1 0 2 1 1 0
6515  0.2925 0.1479 652.9302 71 0 0.3803 3.9538 4.9000 0.5577 17.4815 0.5031 17.0000 3.3333 0 7 112.3094 53.9492 51.6063 57.6118 8 0 1 0 0 0 2 2 5 1 1 2 0 0 0 1 1 0 0 0 2 0
6516  -0.0694 0.0001 238.8289 24 0 0.2500 3.8958 3.0442 0.5450 5.0000 0.1997 -2.4286 4.5714 -1 5 42.2670 43.2124 15.2908 54.3309 3 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0
6517  -0.3287 0.1477 951.4638 122 1 0.4016 3.9578 7.0969 0.4749 36.2449 0.1449 26.7200 4.6800 0 14 190.7650 112.2948 78.8615 92.5604 12 0 2 0 1 1 2 2 0 1 0 0 0 2 1 3 1 1 3 1 4 0
6518  0.3321 0.0254 489.3556 68 0 0.2647 3.9211 3.9648 0.4577 14.8889 0.4812 21.0588 3.2353 -2 8 59.4113 66.9394 23.0354 43.6999 14 1 0 0 1 2 2 1 4 0 1 0 0 0 0 0 2 0 1 1 1 0
6519  -0.0091 0.7654 930.5680 102 0 0.5294 4.0058 6.5679 0.4503 45.0370 0.5038 18.9630 3.8889 0 14 198.0510 89.3958 89.8332 75.0298 10 2 0 1 3 0 2 2 3 2 1 2 3 0 3 0 0 1 0 0 2 0
6520  0.2605 0.3261 746.7816 83 0 0.3976 3.9154 5.6661 0.5439 21.2121 0.4446 18.6842 3.3158 0 7 129.2162 70.0653 70.7198 78.5359 8 0 1 0 0 1 2 2 5 1 1 2 0 0 0 1 1 0 0 0 2 0
6521  -0.5033 0.4217 1978.7931 221 0 0.2217 4.0398 9.0470 0.4602 25.6735 0.1307 16.0000 4.1702 5 24 303.1148 283.1472 139.5282 149.1936 28 3 6 1 4 0 0 2 4 2 3 3 3 1 1 4 1 3 1 1 4 0
6522  0.0463 0.0144 119.5644 25 0 0.6800 3.7738 1.3489 0.5031 16.0000 0.0850 62.0000 5.7500 0 6 20.5297 27.8579 7.6454 12.1729 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 4 2 0
6523  -0.0773 0.5507 705.0460 83 0 0.6024 4.0998 5.4231 0.5170 39.3600 0.4090 46.8636 3.9091 -1 6 160.6145 47.4097 68.8084 15.7635 12 4 1 1 1 0 0 1 2 0 3 2 0 0 2 0 0 1 0 1 3 0
6524  0.2743 0.9275 1101.8286 150 0 0.3933 3.8125 8.0390 0.4449 26.7797 0.2995 19.5152 3.9394 -5 16 175.1060 136.8056 82.1878 52.3667 28 2 0 2 3 0 1 4 3 0 1 2 2 0 4 2 1 1 0 2 3 0
6525  0.0294 0.0094 240.9104 37 0 0.4865 3.8657 2.9035 0.4594 17.0000 0.1225 30.7692 5.2308 0 11 33.8136 59.1515 7.6454 38.3985 7 0 1 1 0 0 0 2 0 1 0 0 0 0 0 0 1 0 1 4 2 0
6526  0.2133 0.7342 1578.6279 194 0 0.4588 3.8628 10.2046 0.4316 50.3146 0.2802 30.3000 4.3250 0 19 214.8585 198.1664 89.9325 127.5373 26 1 1 1 4 0 1 3 3 1 4 8 5 2 1 0 1 1 0 1 2 0
6527  0.4743 0.7495 1822.8888 219 0 0.5388 3.8995 11.0080 0.4617 47.9661 0.2702 34.2340 4.4043 -1 21 280.9615 200.3536 118.5034 139.4849 31 1 2 1 3 0 0 5 4 2 3 9 3 2 3 1 1 1 0 3 3 0
6528  0.3081 0.9959 1323.2987 246 0 0.2683 3.8898 9.7138 0.4448 45.3030 0.1282 21.8261 4.3478 3 28 175.1060 168.3426 34.4042 54.3028 36 3 4 5 2 0 0 4 4 2 2 2 3 1 3 0 1 2 1 4 3 0
6529  0.3865 0.9974 1229.9592 227 0 0.2952 3.8836 9.4003 0.4554 42.7463 0.1186 20.9111 4.2889 3 27 160.6145 152.1379 32.4929 43.8125 34 3 4 5 2 0 0 4 4 2 2 2 3 1 3 0 1 2 1 3 3 0
6530  0.0624 0.0018 209.3304 19 0 0.8421 3.8161 2.8083 0.5524 15.0000 0.9411 58.0000 4.6667 0 2 37.4365 11.7860 19.1134 13.9119 0 0 1 0 0 0 0 1 1 0 4 1 0 1 0 0 0 0 0 0 0 0
6531  -0.0379 0.9718 1722.8004 287 0 0.5645 3.8670 9.6222 0.4366 71.1111 0.4363 46.4783 4.6739 3 18 298.9765 196.2669 59.4503 54.0775 28 2 2 0 0 1 2 4 1 2 4 9 3 3 6 1 3 0 0 2 1 0
6532  0.4401 0.8525 482.3425 72 0 0.6250 3.7909 4.8987 0.4847 40.3556 0.0000 28.1304 3.2174 2 12 91.1062 31.3821 15.5886 1.7390 12 3 0 1 0 3 0 1 1 3 0 1 0 0 0 0 3 3 0 1 3 0
6533  0.0027 0.7205 730.9434 94 1 0.6170 3.8603 6.9100 0.4449 33.5517 0.0640 24.6000 3.2000 1 7 126.8009 73.4346 57.3404 71.7771 8 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 2 3 0 0 0 0
6534  0.1073 0.0072 310.6945 19 0 0.3684 3.9154 3.9708 0.6407 6.0000 0.4933 17.1000 5.0000 2 7 42.2670 44.5052 24.8475 38.7364 4 0 2 2 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 1 0
6535  0.0767 0.0025 277.5474 17 0 0.4118 3.8430 4.0140 0.6460 6.0000 0.6050 17.1000 5.0000 2 7 43.4746 46.6481 26.7588 40.5035 6 0 2 2 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 1 0
6536  0.1793 0.8284 670.9978 96 1 0.5729 3.9508 7.0619 0.4677 29.9636 0.0733 24.6000 3.2000 1 7 126.8009 61.6264 42.0496 54.3309 7 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 2 3 0 0 0 0
6537  -0.1341 0.2610 1226.4237 183 1 0.7650 4.0088 7.3689 0.4681 89.6857 0.4043 35.3333 5.1333 2 11 228.2417 139.2804 70.7198 122.4611 9 0 1 1 0 0 0 0 0 0 0 1 1 0 1 1 3 0 2 3 1 0
6538  0.1053 0.0010 280.2411 22 0 0.5455 4.3790 1.7132 0.5707 11.0000 0.1325 25.6250 3.0000 -2 2 42.2670 27.9465 28.6702 67.9049 3 1 0 0 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0
6539  0.1273 0.9445 1088.0487 165 0 0.7697 3.8742 7.7261 0.4472 75.1654 0.3591 20.9429 4.6571 8 19 286.2079 51.5186 78.3652 45.2136 7 0 1 0 1 0 1 1 1 3 2 3 6 0 1 5 1 1 1 3 4 0
6540  0.2581 0.2584 1104.2753 103 0 0.7476 3.8820 7.2074 0.5327 44.0779 0.3819 51.2500 4.7500 2 11 137.6696 116.7355 76.4538 98.1716 9 3 0 0 0 0 0 0 0 0 2 2 2 0 4 1 2 2 0 5 1 0
6541  -0.1119 0.9947 2467.4509 312 0 0.8462 4.0572 11.4205 0.4772 91.2652 0.4869 52.0556 4.5000 0 21 543.2546 117.1210 187.5104 80.0778 13 1 2 0 3 2 2 1 2 2 5 8 0 1 5 1 2 4 4 1 8 0
6542  0.4696 0.0041 523.0482 40 0 0.1750 3.8524 5.6404 0.5319 4.2857 0.6528 0.9091 4.2727 2 9 53.1356 80.1289 53.5177 82.4081 8 0 2 4 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0
6543  -0.1187 0.0062 689.9395 17 1 0.5294 4.3985 3.7522 0.5180 8.0000 0.5319 21.7000 4.2000 2 6 80.9111 57.1857 68.8084 59.4634 6 2 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 2 1 0
6544  0.3087 0.9972 1222.8196 240 0 0.2792 3.9006 9.3134 0.4500 42.3881 0.1731 20.9111 4.2889 3 27 160.6145 166.2661 36.3156 43.7844 34 3 4 5 2 0 0 4 4 2 2 2 3 1 3 0 1 2 1 3 3 0
6545  0.3954 0.9947 1259.6066 218 0 0.2936 3.9270 9.4459 0.4448 40.2812 0.0799 20.2391 4.2826 3 28 158.1993 154.3251 36.3156 43.8125 34 3 4 5 2 0 1 4 4 2 2 2 3 1 3 0 1 2 1 3 3 0
6546  0.3117 0.9978 1228.1366 238 0 0.3403 3.8928 9.2926 0.4450 54.2222 0.1253 20.9111 4.2889 3 27 171.4832 151.2435 28.6702 42.0454 34 3 4 5 2 0 0 4 4 2 2 2 3 1 3 0 1 2 1 3 3 0
6547  0.4202 0.9980 1288.0836 249 0 0.2651 3.9128 9.9426 0.4471 37.4242 0.1239 21.8261 4.3478 3 28 163.0298 159.6381 43.9609 43.7844 34 3 4 5 2 0 0 4 4 2 2 2 3 1 3 0 1 2 1 4 3 0
6548  0.0965 0.8613 631.3665 62 1 0.5323 4.1599 5.2820 0.6076 25.5758 0.1892 29.3077 4.3077 -3 9 106.2713 59.2179 97.4786 34.8642 11 1 0 0 3 0 0 0 0 0 0 1 0 0 2 0 3 0 1 2 0 0
6549  0.3739 0.9533 1257.6729 161 0 0.6025 3.8483 9.1290 0.4153 48.9897 0.3025 37.2439 4.3415 -1 17 209.4738 122.4783 74.5425 74.7763 22 1 1 1 3 0 0 4 4 2 3 8 3 2 3 0 1 0 0 2 3 0
6550  0.1871 0.4311 1611.5847 196 0 0.4694 3.8757 10.4989 0.4378 44.7391 0.2872 28.3488 4.4186 0 22 240.1395 226.3120 99.3900 160.9441 25 1 1 1 4 0 1 4 3 1 3 9 6 2 1 0 1 1 0 2 2 0
6551  0.2314 0.9941 1783.9834 250 0 0.5920 3.9156 9.6852 0.4535 58.1757 0.3187 46.7917 4.3125 1 16 340.1353 101.3589 130.1700 50.9093 25 3 4 2 1 1 1 2 4 0 5 10 0 1 6 1 1 4 1 0 1 0
6552  0.3016 0.2828 270.7028 33 0 0.6970 4.0769 2.3869 0.6081 22.0000 0.5634 24.8182 4.5455 -3 6 62.7967 28.3227 30.5815 19.3823 2 0 0 1 1 0 0 3 0 0 1 1 1 0 2 0 0 0 0 0 1 0
