Entry_ID  Pocket_Score drug_score volume nb_asph inter_chain apol_asph_proportion mean_asph_radius as_density mean_asph_solv_acc mean_loc_hyd_dens flex hydrophobicity_score volume_score charge_score polarity_score a0_apol a0_pol af_apol af_pol n_abpa ala cys asp glu phe gly his ile lys leu met asn pro gln arg ser thr val trp tyr
75  0.0409 0.0002 349.0825 19 0 0.0526 3.8789 3.6635 0.4771 0.0000 0.5665 -4.9333 3.4000 -2 11 41.3760 60.4000 19.1134 34.9768 10 1 1 1 3 0 0 1 1 0 0 0 1 2 0 0 3 1 0 0 0 0
76  0.0750 0.0809 270.5326 25 0 0.5200 3.8966 2.1355 0.4966 12.0000 0.3368 36.1111 3.8889 -2 2 49.5128 35.4688 38.2269 24.3458 5 2 0 0 1 0 0 1 0 0 1 0 0 0 2 1 0 0 0 0 1 0
77  -0.0739 0.0554 315.5769 35 0 0.8286 3.8192 3.4804 0.4732 27.8621 0.5414 59.7273 5.0909 1 5 103.8560 35.5352 17.2021 7.0123 6 0 0 0 0 0 0 0 0 0 1 1 1 1 2 0 1 1 0 2 1 0
78  0.4058 0.8306 496.0383 103 1 0.3301 3.9261 4.8270 0.4492 31.5882 0.0441 27.3600 4.2800 4 15 66.4196 55.2419 17.2021 21.0649 16 1 3 2 1 2 0 0 2 1 2 2 1 0 1 0 3 1 1 2 0 0
79  0.1018 0.0273 932.9277 119 0 0.2437 4.0216 6.3010 0.5397 16.6897 0.4122 15.2963 3.8148 5 15 105.0637 162.3564 63.0744 73.6287 24 1 3 1 1 0 0 1 4 3 0 0 1 1 3 1 1 4 0 0 2 0
80  0.3952 0.7013 516.3208 84 0 0.4048 3.8872 4.9336 0.4680 28.8235 0.3743 31.2857 3.9048 2 10 89.3645 46.1170 47.7836 55.7602 9 1 1 0 0 1 0 2 2 3 1 4 0 0 0 1 0 3 0 1 1 0
81  -0.0033 0.0019 239.7704 16 0 0.5000 3.7949 2.5710 0.5133 7.0000 0.3403 44.7000 4.9000 1 3 50.7204 14.0175 28.6702 8.8076 4 0 0 0 0 0 0 1 0 0 3 1 2 0 1 1 0 0 0 0 1 0
82  0.1754 0.0053 293.5156 28 1 0.3929 3.9556 2.8023 0.5311 10.0000 0.5070 29.8000 4.0000 1 6 37.4365 49.6412 32.4929 29.7035 5 0 0 1 1 0 0 0 1 2 0 1 0 0 1 0 1 0 1 0 1 0
83  -0.0391 0.0000 873.7978 76 0 0.0395 4.0563 5.7288 0.5405 0.6667 0.3105 7.1538 3.1923 -5 16 82.1187 196.7187 38.2269 146.6098 20 1 1 1 4 0 0 3 4 1 2 2 0 0 0 0 3 3 0 0 1 0
84  0.3973 0.2010 820.1624 147 0 0.1633 3.8504 6.9258 0.4486 19.5000 0.3081 17.8529 4.1176 6 20 99.0255 113.3441 11.4681 42.1017 22 2 3 3 1 0 1 1 5 1 1 2 4 0 1 0 1 2 0 3 3 0
